id,text,name,scale,zipcodes,code
109959-cu-grand-poitiers-pays-des-six-vallees,CU GRAND POITIERS - PAYS DES SIX VALLÉES,CU GRAND POITIERS - PAYS DES SIX VALLÉES,Ad-hoc,,PETR-NA41
109668-ddd,ddd,ddd,Ad-hoc,,ddd
109652-defe,defe,defe,Ad-hoc,,degré
109677-departement-rhone-departement-loire,Département Rhône + Département Loire,Département Rhône + Département Loire,Ad-hoc,,Rhône + Loire dp
109667-departements-60-27-76-95-77,Départements 60-27-76-95-77,Départements 60-27-76-95-77,Ad-hoc,,60-27-76-95-77
109639-departements-de-la-cote-dor-et-de-la-haute-marne,Départements de la Côte-d'Or et de la Haute-Marne,Départements de la Côte-d'Or et de la Haute-Marne,Ad-hoc,,COHM
109636-departements-de-la-creuse-et-de-la-haute-vienne,Départements de la Creuse et de la Haute-Vienne,Départements de la Creuse et de la Haute-Vienne,Ad-hoc,,CRHV
109638-departements-de-la-haute-loire-et-de-la-loire,Départements de la Haute-Loire et de la Loire,Départements de la Haute-Loire et de la Loire,Ad-hoc,,HLLO
109644-departements-de-laisne-et-de-loise,Départements de l'Aisne et de l'Oise,Départements de l'Aisne et de l'Oise,Ad-hoc,,AIOI
109648-departements-de-la-meurthe-et-moselle-et-de-la-meuse,Départements de la Meurthe-et-Moselle et de la Meuse,Départements de la Meurthe-et-Moselle et de la Meuse,Ad-hoc,,MMME
109641-departements-de-la-moselle-et-des-vosges,Départements de la Moselle et des Vosges,Départements de la Moselle et des Vosges,Ad-hoc,,MOVO
109640-departements-de-la-nievre-et-de-lyonne,Départements de la Nièvre et de l'Yonne,Départements de la Nièvre et de l'Yonne,Ad-hoc,,NIYO
109632-departements-de-lardeche-et-de-la-drome,Départements de l'Ardèche et de la Drôme,Départements de l'Ardèche et de la Drôme,Ad-hoc,,ARDR
109633-departements-de-lariege-et-de-la-haute-garonne,Départements de l'Ariège et de la Haute-Garonne,Départements de l'Ariège et de la Haute-Garonne,Ad-hoc,,ARHG
109647-departements-de-laube-et-de-la-marne,Départements de l'Aube et de la Marne,Départements de l'Aube et de la Marne,Ad-hoc,,AUMA
109646-departements-de-leure-et-loir-et-du-loiret,Départements de l'Eure-et-Loir et du Loiret,Départements de l'Eure-et-Loir et du Loiret,Ad-hoc,,ELLO
109637-departements-de-lindre-et-loire-et-du-loir-et-cher,Départements de l'Indre-et-Loire et du Loir-et-Cher,Départements de l'Indre-et-Loire et du Loir-et-Cher,Ad-hoc,,ILLC
109643-departements-de-mayotte-et-de-la-reunion,Départements de Mayotte et de la Réunion,Départements de Mayotte et de la Réunion,Ad-hoc,,MARE
109631-departements-des-hautes-alpes-et-des-alpes-de-haute-provence,Départements des Hautes-Alpes et des Alpes-de-Haute-Provence,Départements des Hautes-Alpes et des Alpes-de-Haute-Provence,Ad-hoc,,HAAHP
109634-departements-du-calvados-de-la-manche-et-de-la-seine-maritime,"Départements du Calvados, de la Manche et de la Seine-Maritime","Départements du Calvados, de la Manche et de la Seine-Maritime",Ad-hoc,,CAMASM
109645-departements-du-cantal-et-du-puy-de-dome,Départements du Cantal et du Puy-de-Dôme,Départements du Cantal et du Puy-de-Dôme,Ad-hoc,,CAPD
